id,nome,linha,modal,lat,lon
1,Jabaquara,L1-AZUL,METRO,-23.6462,-46.6414
2,Conceicao,L1-AZUL,METRO,-23.6356,-46.6414
3,Sao Judas,L1-AZUL,METRO,-23.6258,-46.6410
4,Saude,L1-AZUL,METRO,-23.6185,-46.6386
5,Praca da Arvore,L1-AZUL,METRO,-23.6110,-46.6362
6,Santa Cruz,L1-AZUL,METRO,-23.5990,-46.6390
7,Vila Mariana,L1-AZUL,METRO,-23.5892,-46.6345
8,Ana Rosa,L1-AZUL,METRO,-23.5810,-46.6380
9,Paraiso,L1-AZUL,METRO,-23.5758,-46.6394
10,Vergueiro,L1-AZUL,METRO,-23.5716,-46.6395
11,Sao Joaquim,L1-AZUL,METRO,-23.5666,-46.6398
12,Liberdade,L1-AZUL,METRO,-23.5590,-46.6350
13,Se,L1-AZUL,METRO,-23.5503,-46.6339
14,Sao Bento,L1-AZUL,METRO,-23.5449,-46.6339
15,Luz,L1-AZUL,METRO,-23.5346,-46.6350
16,Tiradentes,L1-AZUL,METRO,-23.5290,-46.6340
17,Armenia,L1-AZUL,METRO,-23.5253,-46.6297
18,Portuguesa-Tiete,L1-AZUL,METRO,-23.5158,-46.6255
19,Carandiru,L1-AZUL,METRO,-23.5099,-46.6244
20,Santana,L1-AZUL,METRO,-23.5028,-46.6255
21,Jardim Sao Paulo,L1-AZUL,METRO,-23.4924,-46.6198
22,Parada Inglesa,L1-AZUL,METRO,-23.4846,-46.6155
23,Tucuruvi,L1-AZUL,METRO,-23.4801,-46.6019
24,Vila Madalena,L2-VERDE,METRO,-23.5465,-46.6905
25,Sumare,L2-VERDE,METRO,-23.5528,-46.6760
26,Clinicas,L2-VERDE,METRO,-23.5540,-46.6690
27,Consolacao,L2-VERDE,METRO,-23.5575,-46.6600
28,Trianon-Masp,L2-VERDE,METRO,-23.5615,-46.6560
29,Brigadeiro,L2-VERDE,METRO,-23.5680,-46.6480
30,Paraiso,L2-VERDE,METRO,-23.5758,-46.6394
31,Ana Rosa,L2-VERDE,METRO,-23.5810,-46.6380
32,Chacara Klabin,L2-VERDE,METRO,-23.5900,-46.6270
33,Santos-Imigrantes,L2-VERDE,METRO,-23.5960,-46.6110
34,Alto do Ipiranga,L2-VERDE,METRO,-23.5990,-46.6030
35,Sacoma,L2-VERDE,METRO,-23.6033,-46.6012
36,Tamanduatei,L2-VERDE,METRO,-23.5975,-46.5940
37,Vila Prudente,L2-VERDE,METRO,-23.5822,-46.5812
38,Palmeiras-Barra Funda,L3-VERMELHA,METRO,-23.5270,-46.6660
39,Marechal Deodoro,L3-VERMELHA,METRO,-23.5330,-46.6570
40,Santa Cecilia,L3-VERMELHA,METRO,-23.5385,-46.6510
