origem,destino,linha,tipo,sentido
1,2,L1-AZUL,VIA,BI
2,3,L1-AZUL,VIA,BI
3,4,L1-AZUL,VIA,BI
4,5,L1-AZUL,VIA,BI
5,6,L1-AZUL,VIA,BI
6,7,L1-AZUL,VIA,BI
7,8,L1-AZUL,VIA,BI
8,9,L1-AZUL,VIA,BI
9,10,L1-AZUL,VIA,BI
10,11,L1-AZUL,VIA,BI
11,12,L1-AZUL,VIA,BI
12,13,L1-AZUL,VIA,BI
13,14,L1-AZUL,VIA,BI
14,15,L1-AZUL,VIA,BI
15,16,L1-AZUL,VIA,BI
16,17,L1-AZUL,VIA,BI
17,18,L1-AZUL,VIA,BI
18,19,L1-AZUL,VIA,BI
19,20,L1-AZUL,VIA,BI
20,21,L1-AZUL,VIA,BI
21,22,L1-AZUL,VIA,BI
22,23,L1-AZUL,VIA,UNI
24,25,L2-VERDE,VIA,BI
25,26,L2-VERDE,VIA,BI
26,27,L2-VERDE,VIA,BI
27,28,L2-VERDE,VIA,BI
28,29,L2-VERDE,VIA,BI
29,30,L2-VERDE,VIA,BI
30,31,L2-VERDE,VIA,BI
31,32,L2-VERDE,VIA,BI
32,33,L2-VERDE,VIA,BI
33,34,L2-VERDE,VIA,BI
34,35,L2-VERDE,VIA,BI
35,36,L2-VERDE,VIA,BI
36,37,L2-VERDE,VIA,BI
38,39,L3-VERMELHA,VIA,BI
39,40,L3-VERMELHA,VIA,BI
40,41,L3-VERMELHA,VIA,BI
41,42,L3-VERMELHA,VIA,BI
42,43,L3-VERMELHA,VIA,BI
43,44,L3-VERMELHA,VIA,BI
44,45,L3-VERMELHA,VIA,BI
45,46,L3-VERMELHA,VIA,BI
46,47,L3-VERMELHA,VIA,BI
47,48,L3-VERMELHA,VIA,BI
48,49,L3-VERMELHA,VIA,BI
49,50,L3-VERMELHA,VIA,BI
50,51,L3-VERMELHA,VIA,BI
51,52,L3-VERMELHA,VIA,BI
52,53,L3-VERMELHA,VIA,BI
53,54,L3-VERMELHA,VIA,BI
54,55,L3-VERMELHA,VIA,BI
56,57,L4-AMARELA,VIA,BI
57,58,L4-AMARELA,VIA,BI
58,59,L4-AMARELA,VIA,BI
59,60,L4-AMARELA,VIA,BI
60,61,L4-AMARELA,VIA,BI
61,62,L4-AMARELA,VIA,BI
62,63,L4-AMARELA,VIA,BI
63,64,L4-AMARELA,VIA,BI
64,65,L4-AMARELA,VIA,BI
65,66,L4-AMARELA,VIA,BI
68,67,L5-LILAS,VIA,UNI
68,69,L5-LILAS,VIA,BI
69,70,L5-LILAS,VIA,BI
70,71,L5-LILAS,VIA,BI
71,72,L5-LILAS,VIA,BI
72,73,L5-LILAS,VIA,BI
73,74,L5-LILAS,VIA,BI
74,75,L5-LILAS,VIA,BI
75,76,L5-LILAS,VIA,BI
76,77,L5-LILAS,VIA,BI
77,78,L5-LILAS,VIA,BI
78,79,L5-LILAS,VIA,BI
79,80,L5-LILAS,VIA,BI
80,81,L5-LILAS,VIA,BI
81,82,L5-LILAS,VIA,BI
82,83,L5-LILAS,VIA,BI
84,85,L15-PRATA,VIA,BI
85,86,L15-PRATA,VIA,BI
86,87,L15-PRATA,VIA,BI
87,88,L15-PRATA,VIA,BI
88,89,L15-PRATA,VIA,BI
89,90,L15-PRATA,VIA,BI
90,91,L15-PRATA,VIA,BI
91,92,L15-PRATA,VIA,BI
92,93,L15-PRATA,VIA,UNI
94,95,L9-ESMERALDA,VIA,BI
95,96,L9-ESMERALDA,VIA,BI
96,97,L9-ESMERALDA,VIA,BI
97,98,L9-ESMERALDA,VIA,BI
98,99,L9-ESMERALDA,VIA,BI
99,100,L9-ESMERALDA,VIA,BI
100,101,L9-ESMERALDA,VIA,BI
101,102,L9-ESMERALDA,VIA,BI
102,103,L9-ESMERALDA,VIA,BI
103,104,L9-ESMERALDA,VIA,BI
104,105,L9-ESMERALDA,VIA,BI
105,106,L9-ESMERALDA,VIA,BI
106,107,L9-ESMERALDA,VIA,BI
107,108,L9-ESMERALDA,VIA,BI
108,109,L9-ESMERALDA,VIA,BI
109,110,L9-ESMERALDA,VIA,BI
110,111,L9-ESMERALDA,VIA,UNI
112,113,L7-RUBI,VIA,BI
113,114,L7-RUBI,VIA,BI
114,115,L7-RUBI,VIA,BI
115,116,L7-RUBI,VIA,BI
116,117,L7-RUBI,VIA,BI
117,118,L7-RUBI,VIA,BI
118,119,L7-RUBI,VIA,BI
119,120,L7-RUBI,VIA,UNI
121,122,L11-CORAL,VIA,BI
122,123,L11-CORAL,VIA,BI
123,124,L11-CORAL,VIA,BI
124,125,L11-CORAL,VIA,BI
125,126,L11-CORAL,VIA,BI
126,127,L11-CORAL,VIA,BI
13,43,BALDEACAO,BALDEACAO,BI
9,30,BALDEACAO,BALDEACAO,BI
8,31,BALDEACAO,BALDEACAO,BI
15,66,BALDEACAO,BALDEACAO,BI
66,112,BALDEACAO,BALDEACAO,BI
112,121,BALDEACAO,BALDEACAO,BI
6,82,BALDEACAO,BALDEACAO,BI
32,83,BALDEACAO,BALDEACAO,BI
37,84,BALDEACAO,BALDEACAO,BI
27,63,BALDEACAO,BALDEACAO,BI
41,65,BALDEACAO,BALDEACAO,BI
38,113,BALDEACAO,BALDEACAO,BI
45,122,BALDEACAO,BALDEACAO,BI
48,123,BALDEACAO,BALDEACAO,BI
55,124,BALDEACAO,BALDEACAO,BI
59,100,BALDEACAO,BALDEACAO,BI
71,106,BALDEACAO,BALDEACAO,BI
